"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cthrc1",0,1.78364698004932,0.909,0.242,0,"0","Cthrc1"
"Postn",0,1.39752515791287,1,0.572,0,"0","Postn"
"C1qtnf3",0,1.38776809133709,0.479,0.078,0,"0","C1qtnf3"
"Cilp",0,1.36333672454084,0.83,0.255,0,"0","Cilp"
"Ptn",0,1.33050234460981,0.863,0.338,0,"0","Ptn"
"Col1a1",0,1.32535346228794,1,0.696,0,"0","Col1a1"
"Sfrp2",0,1.31028606590675,0.522,0.153,0,"0","Sfrp2"
"Col1a2",0,1.29834395780162,1,0.702,0,"0","Col1a2"
"Thbs4",0,1.28770812618271,0.389,0.056,0,"0","Thbs4"
"Ddah1",0,1.28400743511548,0.846,0.168,0,"0","Ddah1"
"Comp",0,1.25561598577474,0.648,0.157,0,"0","Comp"
"Ltbp2",0,1.244198510993,0.976,0.298,0,"0","Ltbp2"
"Col11a1",0,1.21833745007193,0.592,0.091,0,"0","Col11a1"
"Aspn",0,1.21353544150026,0.986,0.52,0,"0","Aspn"
"Lox",0,1.14934595058444,0.962,0.354,0,"0","Lox"
"Fn1",0,1.14031767728819,0.994,0.569,0,"0","Fn1"
"Ctgf",0,1.12578730723021,0.987,0.521,0,"0","Ctgf"
"Col5a2",0,1.12115585693765,1,0.597,0,"0","Col5a2"
"1500015O10Rik",0,1.08507185430952,0.853,0.283,0,"0","1500015O10Rik"
"Crlf1",0,1.06801881597725,0.865,0.285,0,"0","Crlf1"
"Col3a1",0,1.06561014005913,1,0.739,0,"0","Col3a1"
"Col8a1",0,1.05321292790972,0.992,0.558,0,"0","Col8a1"
"Mfap4",0,1.0351182290688,0.987,0.467,0,"0","Mfap4"
"Pdgfrl",0,1.01552674154501,0.962,0.393,0,"0","Pdgfrl"
"Fmod",0,1.00937169174875,0.631,0.089,0,"0","Fmod"
"Mfap5",0,1.00495926291514,0.999,0.592,0,"0","Mfap5"
"Sparc",0,0.993297715034518,1,0.891,0,"0","Sparc"
"Ogn",0,0.963476854450254,0.966,0.444,0,"0","Ogn"
"Timp1",0,0.91885907041813,0.96,0.489,0,"0","Timp1"
"Itgbl1",0,0.887804148829579,0.924,0.355,0,"0","Itgbl1"
"Itm2a",0,0.881586157327269,0.884,0.417,0,"0","Itm2a"
"Thbs2",0,0.880238544396147,0.889,0.376,0,"0","Thbs2"
"Col12a1",0,0.873926703782765,0.773,0.177,0,"0","Col12a1"
"Fibin",0,0.871744747704797,0.889,0.358,0,"0","Fibin"
