"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Clec3b",0,1.69038001509698,0.905,0.302,0,"0","Clec3b"
"Mfap5",0,1.57536484932022,0.939,0.473,0,"0","Mfap5"
"Gsn",0,1.24916934719357,0.991,0.636,0,"0","Gsn"
"Lum",0,1.21571919608638,0.987,0.503,0,"0","Lum"
"Itm2a",0,1.20211800795221,0.973,0.607,0,"0","Itm2a"
"Col3a1",0,1.15721460177134,1,0.726,0,"0","Col3a1"
"Dcn",0,1.10524651676803,1,0.633,0,"0","Dcn"
"Akap12",0,1.08597321427747,0.964,0.637,0,"0","Akap12"
"Htra3",0,1.05604174204709,0.857,0.36,0,"0","Htra3"
"Lsp1",0,1.0337162748643,0.92,0.432,0,"0","Lsp1"
"Dpt",0,1.01790832523698,0.99,0.467,0,"0","Dpt"
"Tnxb",0,1.01297481364667,0.941,0.377,0,"0","Tnxb"
"Col6a2",0,1.00128444420619,0.988,0.573,0,"0","Col6a2"
"Spon2",0,0.982605852788022,0.847,0.329,0,"0","Spon2"
"Pcsk6",0,0.982143171248229,0.765,0.265,0,"0","Pcsk6"
"Col6a1",0,0.976272892692269,0.996,0.592,0,"0","Col6a1"
"Entpd2",0,0.961282486662968,0.76,0.184,0,"0","Entpd2"
"Lama2",0,0.957780921348862,0.944,0.416,0,"0","Lama2"
"Smoc2",0,0.921379132156622,0.814,0.277,0,"0","Smoc2"
"Col5a1",0,0.889454246484499,0.993,0.61,0,"0","Col5a1"
"Lpar1",0,0.875230751129312,0.869,0.364,0,"0","Lpar1"
"Lamb1",0,0.856796758230328,0.963,0.705,0,"0","Lamb1"
"Ogn",0,0.841165426237746,0.934,0.456,0,"0","Ogn"
"Col14a1",0,0.832792234144475,0.99,0.589,0,"0","Col14a1"
"Lamc1",0,0.828040746952174,0.967,0.757,0,"0","Lamc1"
"Col6a3",0,0.817500928325046,0.93,0.516,0,"0","Col6a3"
"Cygb",0,0.812862604480224,0.934,0.463,0,"0","Cygb"
"Abca8a",0,0.799904185252515,0.819,0.308,0,"0","Abca8a"
"Matn2",0,0.7969621482051,0.857,0.356,0,"0","Matn2"
