"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Clec3b",5.31224931105648e-158,2.07399413086049,0.809,0.1,9.79738140438147e-154,"0","Clec3b"
"Smoc2",2.83134337740303e-135,1.19674295961466,0.643,0.058,5.22184659094441e-131,"0","Smoc2"
"Lum",9.96915291610545e-132,1.73442449667641,0.948,0.224,1.83861087231733e-127,"0","Lum"
"Dpt",1.2242797110222e-131,1.4804635797337,0.961,0.207,2.25793907103823e-127,"0","Dpt"
"Entpd2",1.89641141679338e-128,1.08921412854084,0.57,0.044,3.49755157599203e-124,"0","Entpd2"
"Pcsk6",7.05946840661588e-128,1.13631141833657,0.622,0.057,1.30197775823217e-123,"0","Pcsk6"
"Col6a1",1.32797687918274e-127,1.4924437085457,0.974,0.245,2.44918775827674e-123,"0","Col6a1"
"Tnxb",1.37146337685636e-125,1.29786261182923,0.861,0.149,2.52938990593618e-121,"0","Tnxb"
"Col6a2",4.54579062946359e-122,1.36876756999086,0.93,0.215,8.38380165791971e-118,"0","Col6a2"
"Spon2",9.19641220235215e-122,1.40731075442704,0.67,0.078,1.69609430247981e-117,"0","Spon2"
"Lama2",2.04922548328483e-121,1.33691738813914,0.865,0.165,3.77938655882221e-117,"0","Lama2"
"Itm2a",4.97045527585284e-121,1.63899268423755,0.909,0.221,9.1670106652554e-117,"0","Itm2a"
"Matn2",7.79165812094595e-120,1.04063821784073,0.735,0.1,1.43701550724606e-115,"0","Matn2"
"Dcn",7.96045797977718e-117,1.69991543356584,1,0.361,1.4681472652103e-112,"0","Dcn"
"Col3a1",1.39887597507539e-114,1.88424411782892,1,0.464,2.57994696083154e-110,"0","Col3a1"
"Col5a1",1.44395248301566e-114,1.412511638519,0.965,0.266,2.66308156442578e-110,"0","Col5a1"
"Lsp1",3.34268886677066e-113,1.36946974717536,0.839,0.17,6.16492107698513e-109,"0","Lsp1"
"Mfap5",5.69476823395455e-113,1.8699586624001,0.874,0.206,1.05028610538824e-108,"0","Mfap5"
"Fndc1",3.61415577514293e-111,1.15033148453385,0.813,0.147,6.6655874960961e-107,"0","Fndc1"
"Ogn",5.48675218415839e-111,1.40094941167823,0.813,0.152,1.01192170532433e-106,"0","Ogn"
"Abca8a",6.21878907727636e-111,1.07169812900601,0.713,0.105,1.14693126952208e-106,"0","Abca8a"
"Col14a1",1.01871104142014e-105,1.26642379452819,0.952,0.263,1.87880877369117e-101,"0","Col14a1"
"Islr",6.2424698839945e-105,1.01788835997099,0.722,0.122,1.15129872070511e-100,"0","Islr"
"Aspn",1.21656824023361e-104,1.25858074518278,0.961,0.263,2.24371680546284e-100,"0","Aspn"
"Pcolce",1.45771909641449e-103,1.28588797619429,0.922,0.266,2.68847132951725e-99,"0","Pcolce"
"Gas1",4.11354269482166e-103,1.29760059252773,0.826,0.186,7.58660679205959e-99,"0","Gas1"
"Htra3",2.18514399323604e-102,1.20156580274134,0.687,0.112,4.03006106672522e-98,"0","Htra3"
"Loxl1",3.67801048208595e-102,1.15135463544329,0.93,0.234,6.78335473211112e-98,"0","Loxl1"
"Gsn",2.54625060575478e-101,1.461233271182,0.961,0.349,4.69604999219355e-97,"0","Gsn"
"Col1a1",3.58250916324671e-100,1.40450704698763,1,0.379,6.6072216497759e-96,"0","Col1a1"
"Itih5",3.52448071120877e-98,1.05205026827627,0.778,0.149,6.50019977568233e-94,"0","Itih5"
"Fbln1",1.25694165246461e-96,1.09256473775994,0.848,0.187,2.31817748964048e-92,"0","Fbln1"
"Col6a3",1.43542985969232e-95,1.20432817013301,0.843,0.208,2.64736329023054e-91,"0","Col6a3"
"Angptl2",2.50783305433184e-95,1.05763873766666,0.835,0.198,4.62519650210421e-91,"0","Angptl2"
"Thbs2",3.15112748665796e-92,1.0577127762727,0.787,0.167,5.81162442364328e-88,"0","Thbs2"
"Lpar1",8.69081946133087e-91,0.960198075557186,0.596,0.089,1.60284783325325e-86,"0","Lpar1"
"Medag",2.04948280534692e-90,0.844091493340296,0.5,0.055,3.77986113790132e-86,"0","Medag"
"Lamb1",2.30140648454493e-90,1.3574798672593,0.926,0.341,4.24448397944621e-86,"0","Lamb1"
"Nrk",6.96204002253702e-88,0.975322774567042,0.552,0.078,1.2840090413565e-83,"0","Nrk"
"Mmp2",2.30107240812158e-87,1.04604092288931,0.913,0.265,4.24386784229863e-83,"0","Mmp2"
"Akap12",4.05226613426756e-87,1.16389195148631,0.887,0.291,7.47359443142967e-83,"0","Akap12"
"Postn",1.08951932468794e-86,1.27810444351084,0.987,0.392,2.00940049052196e-82,"0","Postn"
"Ptn",1.50847306409902e-85,1.42343633712073,0.913,0.289,2.78207687211783e-81,"0","Ptn"
"Col1a2",4.10101279799346e-85,1.28413910454627,0.996,0.492,7.56349790333933e-81,"0","Col1a2"
"Pdgfra",6.88602083939927e-85,1.02985902404483,0.635,0.11,1.26998882341041e-80,"0","Pdgfra"
"Cygb",1.85205330615915e-83,0.980447070925372,0.77,0.176,3.41574191254932e-79,"0","Cygb"
"Sdc2",1.03090874351361e-82,0.945882711366303,0.791,0.205,1.90130499566214e-78,"0","Sdc2"
"Tcf21",1.88951107920056e-82,0.847517056451242,0.622,0.106,3.4848252833696e-78,"0","Tcf21"
"Mfap4",8.48506405331939e-82,1.28047265884403,0.913,0.266,1.5649003633537e-77,"0","Mfap4"
"Kcnk2",1.91778741951821e-81,0.81336785617822,0.43,0.042,3.53697533781744e-77,"0","Kcnk2"
"Pmp22",5.8775057013144e-81,1.03271619901151,0.822,0.241,1.08398837649341e-76,"0","Pmp22"
"Rarres2",9.11428536749458e-81,0.895906908685475,0.874,0.25,1.68094765032702e-76,"0","Rarres2"
"Gpx3",1.06726086649773e-80,0.809017145893909,0.783,0.181,1.96834921608176e-76,"0","Gpx3"
"Col15a1",3.3450762671832e-80,1.15320875738978,0.874,0.283,6.16932415956598e-76,"0","Col15a1"
"Aldh1a2",1.66671997875901e-78,0.875577010334379,0.487,0.063,3.07393165682524e-74,"0","Aldh1a2"
"Serping1",5.6430378449738e-78,0.958328168764261,0.843,0.24,1.04074546974852e-73,"0","Serping1"
"Mdk",1.44924151585033e-76,0.999006719113499,0.939,0.324,2.67283612768276e-72,"0","Mdk"
"Col6a6",4.91092623826123e-76,0.787947501257822,0.478,0.063,9.05722126122518e-72,"0","Col6a6"
"Axl",9.27485437295757e-76,0.947662183155851,0.713,0.173,1.71056139200456e-71,"0","Axl"
"Adamts2",3.65795516937468e-74,0.931557233933009,0.822,0.223,6.74636671887772e-70,"0","Adamts2"
"Rcn3",5.70128016663753e-74,0.9651562159559,0.917,0.334,1.05148710113296e-69,"0","Rcn3"
"Lrp1",6.03519785274777e-73,0.798074831901226,0.8,0.213,1.11307153998227e-68,"0","Lrp1"
"Ptgis",4.55890846649151e-71,0.884530618359287,0.843,0.243,8.40799488475029e-67,"0","Ptgis"
"Cd63",4.89492088873016e-71,1.00678599991485,0.974,0.542,9.02770259508504e-67,"0","Cd63"
"Vcan",7.12989632455147e-71,0.831564186298905,0.77,0.199,1.31496677913703e-66,"0","Vcan"
"Loxl2",2.41825057568816e-70,0.946101823841361,0.743,0.206,4.45997953674167e-66,"0","Loxl2"
"S100a6",2.19230657052363e-69,1.3157057480925,0.943,0.451,4.04327100801673e-65,"0","S100a6"
"Il17d",3.90103414248027e-69,0.667243867420168,0.457,0.064,7.19467726897636e-65,"0","Il17d"
"Rnase4",1.58578111974063e-68,0.776808086437755,0.617,0.134,2.92465611913764e-64,"0","Rnase4"
"Bicc1",1.69563509258957e-68,0.80582394895522,0.765,0.202,3.12725980126294e-64,"0","Bicc1"
"Sfrp1",2.20641542696781e-68,0.889831311541538,0.661,0.15,4.06929197195672e-64,"0","Sfrp1"
"Sulf1",4.20120811890891e-68,0.8534303978952,0.63,0.137,7.7482881337037e-64,"0","Sulf1"
"Mmp23",9.21607704214951e-67,0.711412064707778,0.765,0.202,1.69972108888364e-62,"0","Mmp23"
"Cpxm1",1.18197494230125e-66,0.879389388156472,0.578,0.113,2.17991638608619e-62,"0","Cpxm1"
"Oaf",1.20730776211453e-66,0.79450504474548,0.617,0.135,2.22663770566783e-62,"0","Oaf"
"Steap3",2.9353469529979e-66,0.613544673092884,0.383,0.043,5.41366038541403e-62,"0","Steap3"
"Col26a1",5.16376924101369e-66,0.596849631566267,0.309,0.023,9.52353961120154e-62,"0","Col26a1"
"Mfap2",3.38035154751569e-65,0.916688682964097,0.917,0.343,6.2343823590832e-61,"0","Mfap2"
"Lamc1",7.57969498295097e-65,1.08616462305785,0.878,0.4,1.39792314570565e-60,"0","Lamc1"
"C1qtnf2",2.09064870097099e-64,0.784316274391761,0.622,0.147,3.8557833992008e-60,"0","C1qtnf2"
"Col5a2",2.98992551156621e-64,0.877015240150785,0.943,0.403,5.51431962098156e-60,"0","Col5a2"
"Fbn2",1.32687788022682e-63,0.67438333897369,0.604,0.13,2.44716087450232e-59,"0","Fbn2"
"Ctsl",6.50358792971433e-63,0.910213882894652,0.978,0.564,1.19945672187721e-58,"0","Ctsl"
