"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gpihbp1",0,1.13584656161484,0.955,0.405,0,"0","Gpihbp1"
"Cd300lg",0,1.0779980557697,0.895,0.319,0,"0","Cd300lg"
"Cd36",0,1.03728621261343,0.993,0.569,0,"0","Cd36"
"Cxcl12",0,1.03377706062827,0.983,0.613,0,"0","Cxcl12"
"Kdr",0,1.02177371752789,0.951,0.455,0,"0","Kdr"
"Btnl9",0,0.946152715131871,0.84,0.35,0,"0","Btnl9"
"Lpl",0,0.940968967280312,0.743,0.308,0,"0","Lpl"
"Emcn",0,0.828988567067002,0.853,0.375,0,"0","Emcn"
"Rgcc",0,0.770480242343357,0.792,0.323,0,"0","Rgcc"
"1810011O10Rik",0,0.763484840343964,0.777,0.334,0,"0","1810011O10Rik"
"Tspan13",0,0.756308071635835,0.938,0.498,0,"0","Tspan13"
"Mgll",0,0.752009430927734,0.969,0.611,0,"0","Mgll"
"Aqp7",0,0.740622999092049,0.66,0.23,0,"0","Aqp7"
"Fabp4",0,0.727370904698552,1,0.864,0,"0","Fabp4"
"Tcf15",0,0.657205595444912,0.804,0.39,0,"0","Tcf15"
"Kitl",0,0.653305354164683,0.923,0.544,0,"0","Kitl"
"Cyyr1",0,0.651911157899956,0.894,0.471,0,"0","Cyyr1"
"Cdh5",6.61279573641105e-307,0.607339826767304,0.978,0.594,1.09679830084114e-302,"0","Cdh5"
"Nrp1",8.31551198814163e-307,0.643343287768294,0.95,0.625,1.37921081835317e-302,"0","Nrp1"
"C1qtnf9",4.17897641810192e-305,0.70357157462767,0.654,0.263,6.93125028706384e-301,"0","C1qtnf9"
"Adgrl4",1.13405733551865e-301,0.662770170004655,0.782,0.399,1.88094749669124e-297,"0","Adgrl4"
"AW112010",7.15702057085587e-290,0.628649006206254,0.851,0.474,1.18706343188215e-285,"0","AW112010"
"Cav1",1.56468559733981e-280,0.560355014017395,0.988,0.677,2.59518753174781e-276,"0","Cav1"
"Itpkb",4.44785204623198e-279,0.601800995507762,0.806,0.456,7.37720740388036e-275,"0","Itpkb"
"Ctla2a",5.38286234387296e-277,0.72299264247513,0.618,0.235,8.92801548354769e-273,"0","Ctla2a"
"Cav2",2.82599928467286e-275,0.556578416430431,0.889,0.528,4.68720241355841e-271,"0","Cav2"
"Slc28a2",2.140247725398e-273,0.637496862657754,0.463,0.138,3.54981487734512e-269,"0","Slc28a2"
"Lims2",1.54148411194819e-268,0.550231881808619,0.848,0.493,2.55670554807727e-264,"0","Lims2"
"Rbp7",3.46747274949649e-268,0.636150355279465,0.926,0.546,5.75115030231488e-264,"0","Rbp7"
"Txnip",2.89166639196002e-266,0.562164786403242,0.923,0.605,4.79611787770489e-262,"0","Txnip"
"Adgrf5",7.43157812324807e-265,0.545420949096989,0.959,0.572,1.23260154752193e-260,"0","Adgrf5"
"Sparcl1",9.48514151326397e-263,0.552842997234675,0.961,0.615,1.57320557138996e-258,"0","Sparcl1"
"Myct1",1.86292320855195e-260,0.531414118078283,0.769,0.402,3.08984443370427e-256,"0","Myct1"
"Eng",1.75765511335288e-258,0.570129685147091,0.977,0.662,2.91524677100709e-254,"0","Eng"
"Slc26a10",8.52118012167106e-258,0.626139170548096,0.602,0.247,1.41332293498036e-253,"0","Slc26a10"
"Flt1",1.86519847497193e-252,0.560157702040411,0.976,0.62,3.09361819058844e-248,"0","Flt1"
"Mcf2l",1.77418815662785e-251,0.639794653233956,0.547,0.214,2.94266847658296e-247,"0","Mcf2l"
"Xdh",6.50410109588265e-249,0.702400522465986,0.485,0.172,1.0787702077631e-244,"0","Xdh"
"Ly6c1",5.70117399012051e-248,0.520615551263258,0.997,0.729,9.45596718001387e-244,"0","Ly6c1"
"Snrk",3.60961410527951e-234,0.558174562357021,0.746,0.423,5.98690595501659e-230,"0","Snrk"
"Adgrg1",7.54927576554241e-234,0.573221129541476,0.644,0.309,1.25212287847286e-229,"0","Adgrg1"
"Myo10",8.96799031674951e-230,0.543593177625532,0.799,0.437,1.48743087393607e-225,"0","Myo10"
"Clic5",7.11234957893039e-229,0.58129883513375,0.702,0.36,1.17965430116139e-224,"0","Clic5"
"Gng11",2.29550915184098e-228,0.483453724196047,0.948,0.679,3.80733147924345e-224,"0","Gng11"
"Mllt4",2.50639673628311e-225,0.539781389935502,0.755,0.44,4.15710962679917e-221,"0","Mllt4"
"Egfl7",2.53232444190461e-224,0.478093163539891,0.984,0.656,4.20011331934298e-220,"0","Egfl7"
"Arhgap31",1.60371891250848e-223,0.460758424764041,0.834,0.504,2.65992818828656e-219,"0","Arhgap31"
"Esam",6.23127814469187e-223,0.439354063630016,0.911,0.554,1.03351979307859e-218,"0","Esam"
"Ets1",9.1180050127156e-223,0.472794308806819,0.81,0.473,1.51231231140901e-218,"0","Ets1"
"Plpp3",4.94189349390259e-219,0.546061343747535,0.834,0.522,8.19662454898683e-215,"0","Plpp3"
"Sept4",2.16561313467335e-216,0.518811900667056,0.637,0.315,3.59188594516922e-212,"0","Sept4"
"Jam2",1.15741081332894e-215,0.498268516170473,0.782,0.464,1.91968157498738e-211,"0","Jam2"
"Kank3",3.5018371016028e-214,0.536852613785217,0.62,0.302,5.8081470167184e-210,"0","Kank3"
"Gimap6",3.63480831013368e-208,0.45447285103499,0.654,0.329,6.02869306318773e-204,"0","Gimap6"
"Sdpr",4.51383834395483e-208,0.482114687863467,0.949,0.631,7.48665227728348e-204,"0","Sdpr"
"Tcf4",1.46946439279784e-205,0.458409025145997,0.945,0.647,2.4372536418945e-201,"0","Tcf4"
"St8sia4",2.58911950254505e-205,0.556878599038523,0.388,0.12,4.29431360692122e-201,"0","St8sia4"
"Hspg2",1.54096228010024e-201,0.430352040821408,0.766,0.454,2.55584003777425e-197,"0","Hspg2"
"B2m",2.91979952685898e-200,0.464422067570197,0.981,0.717,4.84277949524831e-196,"0","B2m"
"Ly6e",1.25953607823576e-198,0.475030182303221,0.967,0.684,2.08906653936183e-194,"0","Ly6e"
"Itga6",1.70337654754641e-195,0.586323315599768,0.626,0.321,2.82522034176047e-191,"0","Itga6"
"Abcb1a",1.94230939184849e-193,0.543021191381815,0.673,0.356,3.2215143573199e-189,"0","Abcb1a"
"Unc5b",1.30541555369139e-188,0.571748506273899,0.584,0.298,2.16516223735254e-184,"0","Unc5b"
"Plscr2",1.9799588313622e-188,0.56483164536817,0.617,0.312,3.28395971769735e-184,"0","Plscr2"
"Igfbp3",1.04147580590819e-187,0.676184137719792,0.553,0.254,1.72739177167932e-183,"0","Igfbp3"
"Robo4",1.30409770636581e-185,0.527222125554219,0.477,0.202,2.16297645577833e-181,"0","Robo4"
"Ets2",6.4994329252342e-185,0.484240075581588,0.539,0.26,1.07799594497934e-180,"0","Ets2"
"Ablim1",1.07161620237136e-184,0.440996442911762,0.769,0.483,1.77738263325314e-180,"0","Ablim1"
"Pdgfb",4.06853548719415e-183,0.425692305200083,0.712,0.382,6.74807295906022e-179,"0","Pdgfb"
"Col4a1",6.33702915938064e-181,0.341264746263777,0.861,0.559,1.05105965637487e-176,"0","Col4a1"
"Igfbp7",2.1711658902481e-180,0.393200400372945,0.972,0.624,3.60109574556551e-176,"0","Igfbp7"
"Lrrc8c",1.08742247408097e-179,0.464092534644144,0.663,0.372,1.80359891551069e-175,"0","Lrrc8c"
"Sema7a",9.81723345141117e-178,0.52509848639399,0.586,0.294,1.62828634025106e-173,"0","Sema7a"
"Thrsp",1.86602349892189e-177,0.468367281087994,0.413,0.151,3.09498657531185e-173,"0","Thrsp"
"Mcc",8.79426901940698e-177,0.514795429507404,0.561,0.283,1.45861745955884e-172,"0","Mcc"
"Gm12002",1.36785740383649e-175,0.470156039031524,0.26,0.059,2.2687282900032e-171,"0","Gm12002"
"Arhgef15",1.81919069453437e-174,0.421737725620059,0.622,0.324,3.0173096859547e-170,"0","Arhgef15"
"Tspan7",1.86775373957716e-173,0.429273788982394,0.84,0.531,3.09785635246268e-169,"0","Tspan7"
