"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gpihbp1",0,1.08377414400262,0.95,0.376,0,"0","Gpihbp1"
"Cd300lg",0,1.04410450284902,0.882,0.285,0,"0","Cd300lg"
"Cd36",0,1.00750268365037,0.992,0.544,0,"0","Cd36"
"Kdr",0,0.997225006927979,0.946,0.414,0,"0","Kdr"
"Cxcl12",0,0.986488418879645,0.981,0.545,0,"0","Cxcl12"
"Lpl",0,0.954508956704442,0.723,0.228,0,"0","Lpl"
"Btnl9",0,0.923926364917727,0.825,0.31,0,"0","Btnl9"
"Emcn",0,0.806007780802499,0.836,0.325,0,"0","Emcn"
"Tspan13",0,0.738007167313297,0.931,0.455,0,"0","Tspan13"
"Rgcc",0,0.71319628823787,0.774,0.283,0,"0","Rgcc"
"Mgll",2.30667125106802e-307,0.722249493294594,0.966,0.558,3.82584493702142e-303,"0","Mgll"
"1810011O10Rik",5.18759017892596e-298,0.714526211638827,0.758,0.282,8.6041370707666e-294,"0","1810011O10Rik"
"Fabp4",3.1990962316692e-297,0.641482615517099,1,0.864,5.30602100984653e-293,"0","Fabp4"
"Aqp7",2.18747121029531e-289,0.715174059857417,0.631,0.195,3.62813974939581e-285,"0","Aqp7"
"Sparcl1",7.81656907872948e-269,0.637450550327549,0.957,0.521,1.29645614739807e-264,"0","Sparcl1"
"Cyyr1",2.2958775858784e-267,0.618171536774381,0.882,0.426,3.80794256393791e-263,"0","Cyyr1"
"Xdh",8.95547272338788e-263,0.719294127236089,0.462,0.108,1.48535470590111e-258,"0","Xdh"
"Nrp1",2.8628378625516e-261,0.643843904736943,0.943,0.529,4.74830287882808e-257,"0","Nrp1"
"Tcf15",3.74930465153333e-261,0.614067675723352,0.787,0.339,6.21859669503318e-257,"0","Tcf15"
"Kitl",1.30168577012084e-260,0.622348558297978,0.912,0.473,2.15897601832242e-256,"0","Kitl"
"Adgrl4",1.47462160484509e-252,0.639875124946835,0.759,0.344,2.44580739379607e-248,"0","Adgrl4"
"C1qtnf9",2.298788691116e-249,0.664209396362021,0.627,0.224,3.812770923085e-245,"0","C1qtnf9"
"Itpkb",5.83402771280109e-244,0.583796686654224,0.787,0.367,9.67631836445189e-240,"0","Itpkb"
"Cdh5",5.67568901817121e-240,0.575087751554706,0.975,0.569,9.41369780553876e-236,"0","Cdh5"
"Plpp3",1.67286994761718e-237,0.610014922535828,0.815,0.393,2.77462209511785e-233,"0","Plpp3"
"Ctla2a",4.0196057037126e-232,0.679613614481574,0.593,0.2,6.66691802017771e-228,"0","Ctla2a"
"Txnip",4.86339334991503e-232,0.560686860724563,0.913,0.502,8.06642421016906e-228,"0","Txnip"
"Slc28a2",8.47055360688018e-231,0.630597499174729,0.439,0.112,1.40492602123715e-226,"0","Slc28a2"
"AW112010",2.00233095464407e-229,0.572096687486457,0.833,0.414,3.32106612137265e-225,"0","AW112010"
"Cav2",3.42258643933953e-229,0.533408063181892,0.874,0.455,5.67670186828855e-225,"0","Cav2"
"Igfbp7",1.65822158444777e-228,0.521994458143856,0.968,0.539,2.75032631996507e-224,"0","Igfbp7"
"Snrk",2.00921898470074e-227,0.564423840511611,0.721,0.319,3.33249060802464e-223,"0","Snrk"
"Slc26a10",1.6268269352604e-225,0.606851141872294,0.585,0.206,2.6982551548229e-221,"0","Slc26a10"
"Mcf2l",9.66009769095955e-216,0.617933809062912,0.521,0.174,1.60222380302255e-211,"0","Mcf2l"
"Lims2",2.08053484989408e-214,0.50787363348379,0.83,0.428,3.45077510203432e-210,"0","Lims2"
"Eng",2.22123838696947e-214,0.561899555305456,0.974,0.582,3.68414598862756e-210,"0","Eng"
"Myct1",8.82765193255569e-212,0.489519534642567,0.743,0.348,1.46415434953369e-207,"0","Myct1"
"Cav1",3.34050243104079e-210,0.519016650317959,0.986,0.636,5.54055733212425e-206,"0","Cav1"
"Adgrf5",7.21706208770508e-210,0.514075628132486,0.953,0.542,1.19702191786676e-205,"0","Adgrf5"
"Hspg2",1.37184423760182e-209,0.440098679196871,0.743,0.345,2.27534085248638e-205,"0","Hspg2"
"Adgrg1",4.61373860639344e-207,0.569930628397342,0.616,0.255,7.65234685256417e-203,"0","Adgrg1"
"Sept4",2.66259097722297e-204,0.485648105816946,0.606,0.235,4.41617339482202e-200,"0","Sept4"
"Sepp1",1.01469178681197e-202,0.470244547389434,0.679,0.31,1.68296779760634e-198,"0","Sepp1"
"Unc5b",7.86718128364542e-202,0.582181972052856,0.556,0.206,1.30485068770543e-197,"0","Unc5b"
"Tcf4",3.85544992081028e-200,0.487190149574229,0.938,0.541,6.39464923865592e-196,"0","Tcf4"
"Mllt4",5.32853620774192e-199,0.517652991965501,0.732,0.351,8.83791015416075e-195,"0","Mllt4"
"Clic5",3.33107309711579e-198,0.572428752903034,0.67,0.302,5.52491783887625e-194,"0","Clic5"
"Myo10",3.68025264833366e-197,0.518992973375783,0.777,0.379,6.1040670425262e-193,"0","Myo10"
"Jam2",1.55718675984587e-196,0.487725709629013,0.76,0.368,2.58274995988036e-192,"0","Jam2"
"Rbp7",9.7029918417339e-196,0.555951966259455,0.919,0.526,1.60933822686999e-191,"0","Rbp7"
"Flt1",9.42739158425002e-195,0.526430933707839,0.972,0.602,1.56362716816371e-190,"0","Flt1"
"Gimap6",3.45912290757433e-193,0.433223007392944,0.627,0.257,5.73730125450279e-189,"0","Gimap6"
"Arhgap31",8.16332476738644e-192,0.43807651531591,0.815,0.418,1.35396904591871e-187,"0","Arhgap31"
"Ets1",1.03207630754041e-188,0.428089113993675,0.787,0.389,1.71180176368653e-184,"0","Ets1"
"Ly6c1",3.8146011719152e-188,0.481252541628279,0.997,0.714,6.32689750373855e-184,"0","Ly6c1"
