"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sox17",6.30395386204709e-114,1.14630414648572,0.879,0.295,1.13401826024365e-109,"0","Sox17"
"Cxcl12",7.91200599806692e-114,1.58953752000797,0.919,0.373,1.42329075899226e-109,"0","Cxcl12"
"Ly6c1",3.33745690944663e-112,1.10959837008018,0.885,0.254,6.00375123440353e-108,"0","Ly6c1"
"Icam2",3.61386559441773e-111,1.010142954963,0.969,0.363,6.50098281779806e-107,"0","Icam2"
"Slc6a6",1.16024056154082e-107,1.18096451440125,0.903,0.326,2.08715674615578e-103,"0","Slc6a6"
"Alpl",3.08043182417981e-107,0.988161798568444,0.661,0.13,5.54138880851706e-103,"0","Alpl"
"Sox18",6.76957314891115e-107,0.970203190374613,0.885,0.286,1.21777851375763e-102,"0","Sox18"
"Clec14a",1.24859746003303e-102,1.08612538578255,0.843,0.285,2.24610197085341e-98,"0","Clec14a"
"Cdh5",4.35920844024004e-98,0.943658807953729,0.969,0.389,7.84178006314781e-94,"0","Cdh5"
"Col18a1",1.99390195717663e-95,1.00016699199394,0.95,0.401,3.58683023076504e-91,"0","Col18a1"
"Ptprb",4.07360024840874e-95,0.985316160006361,0.969,0.418,7.32799948686249e-91,"0","Ptprb"
"Podxl",6.15670824009646e-95,0.942368434907974,0.843,0.281,1.10753024531095e-90,"0","Podxl"
"Flt1",6.86220602737182e-95,1.00923566953017,0.94,0.38,1.23444224226392e-90,"0","Flt1"
"Cav1",4.10222906993919e-94,1.03916767408079,0.969,0.542,7.3794998739136e-90,"0","Cav1"
"Ecscr",9.58256799116128e-94,0.855385343847131,0.924,0.329,1.72380815593e-89,"0","Ecscr"
"Vegfc",1.40708586984609e-93,0.80441642448193,0.819,0.246,2.53120677126613e-89,"0","Vegfc"
"Slc9a3r2",7.64419373016261e-92,0.99828601048958,0.919,0.398,1.37511401011895e-87,"0","Slc9a3r2"
"Tm4sf1",4.81823059500107e-91,0.915349248424382,0.992,0.682,8.66751501734743e-87,"0","Tm4sf1"
"Amd1",8.50573979015179e-91,1.00621918101579,0.78,0.272,1.53009753085041e-86,"0","Amd1"
"Tspan13",5.664336359756e-87,0.845633514432929,0.78,0.231,1.01895746775651e-82,"0","Tspan13"
"Adgrf5",1.28456897556074e-86,0.859577330187114,0.819,0.264,2.31081113013622e-82,"0","Adgrf5"
