"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sox17",8.84945238944154e-295,0.94134109729618,0.952,0.568,1.59192799033664e-290,"0","Sox17"
"Icam2",4.7048543642972e-290,0.809864749568791,0.988,0.621,8.46356251593424e-286,"0","Icam2"
"Cxcl12",8.64748294525318e-263,1.26077791002669,0.96,0.623,1.5555957070216e-258,"0","Cxcl12"
"Sox18",9.82786853714536e-243,0.775141302041848,0.947,0.562,1.76793527114708e-238,"0","Sox18"
"Alpl",1.69384638755963e-239,0.815088823301552,0.78,0.34,3.04706026658102e-235,"0","Alpl"
"Txnip",1.30634988026933e-230,0.750064053295554,0.953,0.723,2.34999279961649e-226,"0","Txnip"
"Flt1",4.32592747814558e-227,0.757124885862924,0.978,0.621,7.78191094043608e-223,"0","Flt1"
"Slc9a3r2",3.52699686238892e-222,0.773151748013237,0.967,0.677,6.34471465575143e-218,"0","Slc9a3r2"
"Col18a1",4.80433157482722e-221,0.758784050006206,0.98,0.732,8.64251206995669e-217,"0","Col18a1"
"Podxl",2.15109398562234e-215,0.731648534162954,0.925,0.569,3.86960297073604e-211,"0","Podxl"
"Mecom",1.88093159969778e-212,0.709112247422782,0.937,0.629,3.38360785469633e-208,"0","Mecom"
"Egfl7",6.11940725321423e-210,0.648683667153069,0.996,0.681,1.10082017078071e-205,"0","Egfl7"
"Ly6c1",2.49500196951958e-207,0.807854423602728,0.925,0.513,4.48825904296877e-203,"0","Ly6c1"
"Gja4",5.27727124653779e-202,0.793084803547169,0.952,0.747,9.49328324539683e-198,"0","Gja4"
"Cav1",2.4370949557308e-200,0.690780624136232,0.984,0.855,4.38409011586414e-196,"0","Cav1"
"Vegfc",6.06495645330205e-195,0.634793186164383,0.922,0.573,1.09102501638451e-190,"0","Vegfc"
"Amd1",1.36224576049938e-190,0.817782182133864,0.86,0.583,2.45054389856233e-186,"0","Amd1"
"Epas1",4.1978939848345e-187,0.578671305729624,0.984,0.849,7.55159148931878e-183,"0","Epas1"
"Ptprb",3.59770269850517e-184,0.675672469896549,0.989,0.638,6.47190738434096e-180,"0","Ptprb"
"Slc6a6",1.82461639142579e-182,0.734213068293679,0.929,0.578,3.28230242653585e-178,"0","Slc6a6"
"Clec14a",1.49236884396061e-181,0.700226841959068,0.924,0.587,2.68462231340075e-177,"0","Clec14a"
"Cdh5",7.73467661496665e-178,0.60591158433906,0.989,0.632,1.39139097626635e-173,"0","Cdh5"
"Sema3g",5.11182710148677e-175,0.663517032573746,0.922,0.56,9.19566577286455e-171,"0","Sema3g"
"Hey1",2.01712079462837e-173,0.698084644809881,0.864,0.554,3.62859859745697e-169,"0","Hey1"
"Ecscr",9.44665396789851e-172,0.568966546477373,0.972,0.621,1.69935858228526e-167,"0","Ecscr"
"Tm4sf1",4.86389322030025e-166,0.563723411674133,0.997,0.921,8.74965751399812e-162,"0","Tm4sf1"
"Eng",8.27703782520075e-165,0.614264176117008,0.949,0.665,1.48895633437536e-160,"0","Eng"
"Atox1",1.95207100709929e-161,0.485584514607396,0.98,0.905,3.51158053467091e-157,"0","Atox1"
"Id1",1.45686735706628e-160,0.629291306234968,0.975,0.774,2.62075868862652e-156,"0","Id1"
"Cd36",7.66070871683317e-159,0.710255723327122,0.813,0.431,1.37808489107112e-154,"0","Cd36"
"Rbp7",8.99436188700114e-158,0.8758533893308,0.812,0.467,1.61799575985263e-153,"0","Rbp7"
"Pdgfb",3.1953717550966e-156,0.651392273713684,0.75,0.457,5.74815425024327e-152,"0","Pdgfb"
"Tmsb4x",1.29881088009434e-154,0.4359046234362,1,0.985,2.3364308922017e-150,"0","Tmsb4x"
"Adam15",2.86121588130172e-154,0.589088770879732,0.879,0.634,5.14704124887367e-150,"0","Adam15"
"S100a16",2.65422143641245e-150,0.540555265374812,0.952,0.685,4.77467894196236e-146,"0","S100a16"
"Prex2",8.95316337198277e-149,0.600342811896513,0.885,0.583,1.61058455898598e-144,"0","Prex2"
"S1pr1",4.86293162534848e-148,0.574229210207669,0.934,0.603,8.74792770083937e-144,"0","S1pr1"
"Esam",6.37177523747687e-148,0.491824342346628,0.966,0.818,1.14621864746971e-143,"0","Esam"
"S100a13",5.74505440351625e-147,0.52610458911644,0.941,0.745,1.03347783664854e-142,"0","S100a13"
"Nrp1",1.09179875730941e-146,0.561997497626885,0.966,0.732,1.96403678452389e-142,"0","Nrp1"
"Fam101b",3.2449825143285e-146,0.671387470249419,0.894,0.6,5.83739904502554e-142,"0","Fam101b"
"Clec2d",7.31801616828493e-146,0.66766993336456,0.863,0.611,1.31643792851278e-141,"0","Clec2d"
"Tspan13",7.22972363045434e-145,0.552150604865721,0.891,0.545,1.30055498388243e-140,"0","Tspan13"
"Tmem88",1.48848716116855e-140,0.58901394356071,0.743,0.465,2.67763955422611e-136,"0","Tmem88"
"Adgrf5",1.91053673006239e-139,0.582562998985561,0.892,0.556,3.43686452370923e-135,"0","Adgrf5"
"Cldn5",5.28013510691816e-139,0.579333021465119,0.986,0.655,9.49843504383508e-135,"0","Cldn5"
"Ramp2",1.01602461939403e-137,0.508039508674157,0.985,0.667,1.82772668782792e-133,"0","Ramp2"
"Azin1",6.98410810197668e-136,0.560970892383662,0.931,0.754,1.25637120646458e-131,"0","Azin1"
"Atp13a3",1.28171176620607e-135,0.72591862009195,0.809,0.575,2.30567129622811e-131,"0","Atp13a3"
"Fabp4",1.67483642789977e-135,0.521773566840775,1,0.78,3.0128632501489e-131,"0","Fabp4"
"F11r",2.39323736045773e-135,0.503601531740388,0.899,0.607,4.30519468772741e-131,"0","F11r"
"Hyal2",4.27190629326909e-135,0.549847973998554,0.729,0.47,7.68473223096177e-131,"0","Hyal2"
"Acvrl1",5.25857098215291e-135,0.525739614102113,0.781,0.519,9.45964333979487e-131,"0","Acvrl1"
"8430408G22Rik",9.70610697749837e-135,0.915627727543483,0.537,0.243,1.74603158418218e-130,"0","8430408G22Rik"
"Stmn2",6.20367862072342e-134,0.617031148667001,0.937,0.59,1.11597974708194e-129,"0","Stmn2"
"Ltbp4",2.28463441510487e-131,0.518650494389054,0.995,0.745,4.10982884933216e-127,"0","Ltbp4"
"Ly6a",2.18929617672469e-129,0.612786512784104,0.771,0.424,3.93832489231004e-125,"0","Ly6a"
"Cdk19",1.57988491303273e-128,0.562275722677472,0.77,0.523,2.84205497005457e-124,"0","Cdk19"
"Heg1",1.04688225870015e-126,0.534851301347903,0.937,0.649,1.88323649517569e-122,"0","Heg1"
"Vamp5",1.93224990681035e-125,0.549163038396282,0.752,0.514,3.47592435736114e-121,"0","Vamp5"
"Glul",5.72478937044645e-125,0.560912413443591,0.847,0.566,1.02983235984961e-120,"0","Glul"
"Tm6sf1",1.38679420483283e-124,0.564373923307929,0.758,0.551,2.49470409507378e-120,"0","Tm6sf1"
"Ace",6.81607759367497e-124,0.515621746352945,0.862,0.555,1.22614419832619e-119,"0","Ace"
"Rgs10",2.11503682884596e-123,0.519268109525396,0.8,0.537,3.804739751411e-119,"0","Rgs10"
"Rdx",1.03411113447587e-121,0.514319797076128,0.927,0.802,1.86026251980865e-117,"0","Rdx"
"Cyyr1",1.97276918450336e-117,0.522044355947166,0.771,0.489,3.54881448600309e-113,"0","Cyyr1"
"Cd93",6.75826633822322e-117,0.456135303132211,0.984,0.817,1.21574453158297e-112,"0","Cd93"
"Arglu1",2.37387128532544e-115,0.480488658329701,0.921,0.831,4.27035705517194e-111,"0","Arglu1"
"Mpzl1",2.56023449335649e-114,0.48551524532169,0.788,0.562,4.60560583009899e-110,"0","Mpzl1"
"Ehd1",2.50969499733354e-113,0.450576482092618,0.877,0.75,4.51469033070331e-109,"0","Ehd1"
"Pecam1",7.31795229335801e-113,0.466789256706422,0.992,0.642,1.31642643805217e-108,"0","Pecam1"
"Gimap1",1.61941102162831e-112,0.491913833503269,0.706,0.461,2.91315848680716e-108,"0","Gimap1"
"Nebl",7.84150885790525e-112,0.569448864142108,0.654,0.365,1.41060902844858e-107,"0","Nebl"
"Tspan7",1.34119731670128e-111,0.487490254712303,0.883,0.667,2.41267985301392e-107,"0","Tspan7"
"Myl12b",4.74372652099844e-111,0.458796504883981,0.901,0.771,8.53348963862409e-107,"0","Myl12b"
"Sema7a",7.78729857386094e-110,0.540820976278513,0.635,0.38,1.40085714045184e-105,"0","Sema7a"
"Mgll",1.06168283427947e-107,0.497947396321604,0.843,0.634,1.90986125058535e-103,"0","Mgll"
"Lima1",1.68769243963543e-107,0.491136247648055,0.8,0.581,3.03598992966018e-103,"0","Lima1"
"Mapk3",2.25125211375397e-106,0.410248237994459,0.929,0.735,4.04977742743203e-102,"0","Mapk3"
"Rps27",7.64114221040922e-106,0.314216001900093,0.998,0.96,1.37456507223051e-101,"0","Rps27"
"Gm42418",7.96059527061923e-104,0.29977360069025,0.999,0.991,1.43203148323169e-99,"0","Gm42418"
"Bst2",5.70620271652175e-103,0.537215967425014,0.767,0.59,1.0264888066751e-98,"0","Bst2"
"Ehd2",7.75507873564042e-103,0.398405614244044,0.954,0.855,1.39506111375435e-98,"0","Ehd2"
"Notch4",3.8571023858993e-102,0.441306772008706,0.707,0.459,6.93854148199424e-98,"0","Notch4"
"Jag2",3.65588188748346e-101,0.468707897074501,0.618,0.365,6.57656592739399e-97,"0","Jag2"
"Gnai2",1.38804640936815e-100,0.343512268108872,0.99,0.92,2.49695668581237e-96,"0","Gnai2"
"Bsg",4.92276556367612e-100,0.485908994519208,0.984,0.93,8.85556297249698e-96,"0","Bsg"
"Ece1",2.47668815784278e-99,0.444000863878554,0.866,0.618,4.45531432714339e-95,"0","Ece1"
"Tmod3",8.88756331311276e-99,0.446057718307143,0.884,0.686,1.59878376439585e-94,"0","Tmod3"
"AY036118",1.34609074487605e-97,0.42599419724818,0.959,0.89,2.42148264095752e-93,"0","AY036118"
"Ptprg",1.51120986669967e-97,0.473890347405642,0.777,0.567,2.71851542920604e-93,"0","Ptprg"
"Egfl8",9.38836262746605e-97,0.560367006472265,0.624,0.369,1.68887255305487e-92,"0","Egfl8"
"Clic1",4.27427290373257e-96,0.366162674769738,0.981,0.881,7.68898952652451e-92,"0","Clic1"
"Ly6e",1.82701111692713e-95,0.503348957192307,0.834,0.587,3.28661029824022e-91,"0","Ly6e"
"Sh3bgrl3",4.03319006724191e-95,0.374306339276325,0.936,0.795,7.25530561196147e-91,"0","Sh3bgrl3"
"Myo10",1.13464992806668e-94,0.510544573359615,0.728,0.504,2.04112175559915e-90,"0","Myo10"
"Cd81",3.00394284910829e-94,0.337175784163319,0.984,0.929,5.4037927912609e-90,"0","Cd81"
"Efnb2",1.89321167095188e-93,0.450022678182483,0.891,0.692,3.40569847487534e-89,"0","Efnb2"
"Crip2",2.96262251009509e-92,0.317054346364688,0.995,0.932,5.32946163341006e-88,"0","Crip2"
"Efna1",8.30401611139332e-91,0.520238242059888,0.7,0.481,1.49380945827854e-86,"0","Efna1"
"Kdr",1.52365288162268e-90,0.432022594516715,0.751,0.475,2.74089916875103e-86,"0","Kdr"
"Gata2",1.80239797111603e-90,0.450684200631459,0.669,0.439,3.24233371024062e-86,"0","Gata2"
"Lims2",2.57062805173931e-90,0.410764088897486,0.785,0.617,4.62430280227384e-86,"0","Lims2"
